Armenian,English
բարեւ,hello
շնորհակալություն,thank you
հաց,bread
ջուր,water
ընկեր,friend
գիրք,book
տուն,house
սեր,love
աշխատանք,work
երեխա,child
հայր,father
մայր,mother
գեղեցիկ,beautiful
արեւ,sun
լուսին,moon
բարի լույս,good morning
բարի օր,good day
բարի երեկո,good evening
բարի գիշեր,good night
ցտեսություն,goodbye
խնդրում եմ,please
այո,yes
ոչ,no
ներեցեք,excuse me
կներեք,sorry
մեկ,one
երկու,two
երեք,three
չորս,four
հինգ,five
վեց,six
յոթ,seven
ութ,eight
ինը,nine
տասը,ten
տասնմեկ,eleven
տասներկու,twelve
տասներեք,thirteen
տասնչորս,fourteen
տասնհինգ,fifteen
տասնվեց,sixteen
տասնյոթ,seventeen
տասնութ,eighteen
տասնինը,nineteen
քսան,twenty
կարմիր,red
կապույտ,blue
կանաչ,green
դեղին,yellow
նարնջագույն,orange
մանուշակագույն,purple
վարդագույն,pink
շագանակագույն,brown
մոխրագույն,gray
սև,black
սպիտակ,white
երկուշաբթի,monday
երեքշաբթի,tuesday
չորեքշաբթի,wednesday
հինգշաբթի,thursday
ուրբաթ,friday
շաբաթ,saturday
կիրակի,sunday
հունվար,january
փետրվար,february
մարտ,march
ապրիլ,april
մայիս,may
հունիս,june
հուլիս,july
օգոստոս,august
սեպտեմբեր,september
հոկտեմբեր,october
նոյեմբեր,november
դեկտեմբեր,december
գարուն,spring
ամառ,summer
աշուն,autumn
ձմեռ,winter
ընտանիք,family
ծնող,parent
հայրիկ,dad
մայրիկ,mom
որդի,son
դուստր,daughter
եղբայր,brother
քույր,sister
պապիկ,grandfather
տատիկ,grandmother
թոռ,grandchild
ամուսին,husband
կին,wife
հորեղբայր,uncle
մորաքույր,aunt
զարմիկ,cousin
փեսա,son-in-law
հարս,daughter-in-law
անիծ,nephew
քրոջ աղջիկ,niece
գլուխ,head
մազ,hair
դեմք,face
ճակատ,forehead
աչք,eye
քիթ,nose
բերան,mouth
ղուն,lip
ատամ,tooth
լեզու,tongue
ականջ,ear
կզակ,chin
այտ,cheek
վիզ,neck
ուս,shoulder
բազուկ,arm
ձեռք,hand
մատ,finger
մեջք,back
կրծքավանդակ,chest
որովայն,belly
ոտք,leg
ծունկ,knee
ոտնաթափ,foot
ոտնամատ,toe
սիրտ,heart
ուղեղ,brain
թոք,lung
լյարդ,liver
ստամոքս,stomach
կենդանի,animal
շուն,dog
կատու,cat
կով,cow
ձի,horse
խոզ,pig
ոչխար,sheep
այծ,goat
հավ,chicken
բադ,duck
թռչուն,bird
արջ,bear
գայլ,wolf
առյուծ,lion
վագր,tiger
փիղ,elephant
կապիկ,monkey
ձուկ,fish
օձ,snake
մուկ,mouse
կապ,rabbit
ճագար,hare
աղվես,fox
սարդ,spider
մեղու,bee
թիթեռ,butterfly
ճանճ,fly
մրջյուն,ant
մոծակ,mosquito
գորտ,frog
կրիա,turtle
ծովաձուկ,shark
կետ,whale
դելֆին,dolphin
ուտելիք,food
սնունդ,meal
ճաշ,dinner
նախաճաշ,breakfast
լանչ,lunch
կաթ,milk
պանիր,cheese
կարագ,butter
ձու,egg
միս,meat
բանջարեղեն,vegetables
խնձոր,apple
բանան,banana
նարինջ,orange
ելակ,strawberry
դեղձ,peach
բալ,cherry
կարտոֆիլ,potato
սոխ,onion
սխտոր,garlic
վարունգ,cucumber
լոլիկներ,tomatoes
թեյ,tea
սուրճ,coffee
գարեջուր,beer
գինի,wine
ծիրան,apricot
տանձ,pear
