Armenian,English
այո,yes
ոչ,no
շնորհակալություն,thank you
խնդրեմ,please / you’re welcome
լավ,good
լավ է,is good / okay
օր,day
ամին,friend
տուն,house
գիրք,book
ջուր,water
մայր,mother
երեխա,child
սեր,love
աշխատանք,work
մեծ,big / great
փոքր,small
նոր,new
հին,old
լուսին,moon
արև,sun
գեղեցիկ,beautiful
տաք,hot
ծառ,tree
կերակուր,food
խմիչք,drink
ուղերձ,message / note
առաջ,to front / ahead
անս,inside
անձրև,rain
սկսել,to start / begin
անել,to do / make
գալ,to come
գնալ,to go
տեսնել,to see
լսել,to hear / listen
ասել,to say
հավանել,to like
դիտել,to watch / observe
գրել,to write
կարդալ,to read
վերադառնալ,to return
իմանալ,to know
հավատալ,to believe
աղ, salt
ցուկ,fish
ծով,sea
լող,to swim
փակ,closed
բաց,open
ժամ, hour / o’clock
րոպե,minute  
սխալ, wrong / mistake
գնահատել,to evaluate / appreciate  
բաժին,section / part  
